Narration,Date,Description,AccountCode,TaxRate,Amount
Compras de agentes via x402 — 13 compras na competência 2026-08; total exato USD 0.272 (detalhe compra-a-compra com tx hash no detalhe-compras.csv),21/08/2026,Despesas:Compras de agentes (x402),Despesas:Compras de agentes (x402),Tax Exempt,0.27
Compras de agentes via x402 — 13 compras na competência 2026-08; total exato USD 0.272 (detalhe compra-a-compra com tx hash no detalhe-compras.csv),21/08/2026,Ativos digitais:USDC,Ativos digitais:USDC,Tax Exempt,-0.27
